Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2019-02-06T20:55:00Z,"AAPL",2019-02-08T20:55:00Z,Buy,41.301233006,40.480294293,2059,-1690.31,20.59,-2376.96,53.72,2430.68,0,"	61,62" 
2019-02-08T20:55:00Z,"BIL",2019-02-11T20:55:00Z,Buy,76.03392885,76.025619131,452,-3.76,4.52,-3.76,0,3.76,0,"	64,65" 
2019-02-08T20:55:00Z,"NVDA",2019-02-12T20:55:00Z,Buy,3.661451983,3.745737269,13351,1125.29,133.51,-999.52,1343.73,1155.08,1,"	63,67" 
2019-02-11T20:55:00Z,"BIL",2019-02-12T20:55:00Z,Buy,76.03392885,76.03392885,447,0,4.47,-3.71,3.71,3.71,0,"	66,68" 
2019-02-12T20:55:00Z,"META",2019-02-13T20:55:00Z,Buy,163.546584171,162.574214745,449,-436.59,4.49,-436.59,605.89,1042.48,0,"	69,71" 
2019-02-12T20:55:00Z,"BIL",2019-02-13T20:55:00Z,Buy,76.042238569,76.03392885,141,-1.17,2,-1.17,0,1.17,0,"	70,72" 
2019-02-13T20:55:00Z,"NVDA",2019-02-14T20:55:00Z,Buy,3.7851530351,3.8270477802,12957,542.83,129.57,-420.77,934.7,982.88,1,"	73,75" 
2019-02-13T20:55:00Z,"BIL",2019-02-14T20:55:00Z,Buy,76.042238569,76.058858007,457,7.6,4.57,0,11.39,3.8,1,"	74,76" 
2019-02-14T20:55:00Z,"MSFT",2019-02-15T20:55:00Z,Buy,99.8862334,100.8197496,844,787.89,8.44,-78.79,1000.62,709.1,1,"	77,78" 
2019-02-15T20:55:00Z,"NVDA",2019-02-19T20:55:00Z,Buy,3.9006734565,3.8872869699,12744,-170.6,127.44,-176.92,767.69,944.6,0,"	79,81" 
2019-02-15T20:55:00Z,"BIL",2019-02-19T20:55:00Z,Buy,76.067167726,76.067167726,464,0,4.64,-3.86,3.86,3.86,0,"	80,82" 
2019-02-19T20:55:00Z,"MSFT",2019-03-04T20:55:00Z,Buy,101.00645284,105.11283636,839,3445.26,8.39,-1108.96,4286.88,1856.29,1,"	83,84" 
2019-03-04T20:55:00Z,"AMZN",2019-03-05T20:55:00Z,Buy,84.678377385,84.758189705,1041,83.08,10.41,-262.24,438.79,701.03,1,"	85,86" 
